epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,295,1.02034,2.29498,1.43394,0.79089,0.265,0.55125,0.33744,1.07354,3.07236,1.5898,0.000653333,0.000653333,0.000653333
2,1653.56,1.10124,2.04053,1.49269,0.27855,0.26,0.1856,0.07144,1.71473,4.61231,2.29147,0.00129386,0.00129386,0.00129386
3,1953.75,1.21529,1.96325,1.56525,0.46715,0.445,0.42706,0.24734,1.63521,2.58486,2.09277,0.00190799,0.00190799,0.00190799
4,2250.63,1.25832,1.83932,1.6147,0.56884,0.45,0.48971,0.26289,1.57674,3.22629,2.07076,0.0018812,0.0018812,0.0018812
5,2544.58,1.20847,1.70121,1.54326,0.57577,0.56,0.53454,0.31914,1.31056,1.94512,1.85795,0.0018416,0.0018416,0.0018416
6,2837.09,1.18073,1.65232,1.5346,0.50525,0.48,0.5339,0.29187,1.56641,2.24356,2.0168,0.001802,0.001802,0.001802
7,3133.18,1.15119,1.59096,1.5256,0.63871,0.52153,0.58864,0.38078,1.25426,1.74621,1.68809,0.0017624,0.0017624,0.0017624
8,3426.77,1.1369,1.57465,1.52822,0.61675,0.53105,0.60329,0.35219,1.34756,1.6537,1.78624,0.0017228,0.0017228,0.0017228
9,4322.75,1.09737,1.54329,1.49261,0.70632,0.66141,0.72831,0.51113,1.04382,1.41752,1.52949,0.0016832,0.0016832,0.0016832
10,4631.85,1.0677,1.43992,1.45718,0.73427,0.62,0.69247,0.48131,1.09973,1.33874,1.53873,0.0016436,0.0016436,0.0016436
11,4938.32,1.07969,1.4146,1.45541,0.76216,0.485,0.65297,0.42618,1.19488,1.44364,1.62845,0.001604,0.001604,0.001604
12,5250.63,1.06168,1.39298,1.46796,0.71033,0.61,0.70601,0.51208,1.04758,1.25816,1.4722,0.0015644,0.0015644,0.0015644
13,5563.38,1.02559,1.33281,1.41869,0.66996,0.66,0.73021,0.50741,1.08147,1.22749,1.50431,0.0015248,0.0015248,0.0015248
14,5871.05,0.97183,1.28903,1.3702,0.73602,0.63,0.71865,0.4996,1.08941,1.22573,1.5293,0.0014852,0.0014852,0.0014852
15,6179.65,0.96109,1.32515,1.38852,0.73916,0.66593,0.71702,0.50872,1.01742,1.34666,1.49145,0.0014456,0.0014456,0.0014456
16,6488.86,1.03768,1.32698,1.44097,0.70862,0.685,0.76225,0.52391,1.08669,1.16719,1.5188,0.001406,0.001406,0.001406
17,6807.99,0.97953,1.27207,1.38984,0.78768,0.58,0.66634,0.44339,1.19949,1.50107,1.6321,0.0013664,0.0013664,0.0013664
18,7118.22,0.9549,1.2568,1.39702,0.77878,0.65127,0.74763,0.48692,1.12808,1.28041,1.54728,0.0013268,0.0013268,0.0013268
19,7423.99,0.97855,1.22218,1.37702,0.69963,0.6,0.67735,0.44837,1.17434,1.40075,1.56019,0.0012872,0.0012872,0.0012872
20,7792.35,0.94824,1.19029,1.36391,0.64798,0.66,0.69728,0.46041,1.11048,1.37366,1.5412,0.0012476,0.0012476,0.0012476
21,8093.98,0.91326,1.20337,1.33089,0.71219,0.67,0.75387,0.54512,0.97173,1.09381,1.41892,0.001208,0.001208,0.001208
22,8393.51,0.91259,1.15396,1.33819,0.77464,0.73,0.79243,0.5671,1.00226,1.09423,1.46293,0.0011684,0.0011684,0.0011684
23,8700.07,0.89515,1.12499,1.31131,0.7651,0.755,0.78343,0.56395,1.03109,1.11668,1.46824,0.0011288,0.0011288,0.0011288
24,9000.31,0.91121,1.13997,1.34508,0.83266,0.705,0.82088,0.57629,1.02247,1.017,1.47852,0.0010892,0.0010892,0.0010892
25,9301.92,0.89127,1.11745,1.3327,0.78402,0.726,0.82437,0.61557,0.95204,0.91176,1.40981,0.0010496,0.0010496,0.0010496
26,9605.84,0.87153,1.08452,1.31376,0.82974,0.665,0.77105,0.55575,0.97828,1.14165,1.44355,0.00101,0.00101,0.00101
27,9903.42,0.8456,1.04356,1.27804,0.74022,0.6696,0.78345,0.57452,0.91421,1.06514,1.36011,0.0009704,0.0009704,0.0009704
28,10264.4,0.88796,1.07648,1.33224,0.71635,0.74503,0.80361,0.60284,0.91132,0.91158,1.35205,0.0009308,0.0009308,0.0009308
29,10617.4,0.84109,1.06662,1.30263,0.77087,0.715,0.79741,0.60329,0.91071,0.94409,1.36062,0.0008912,0.0008912,0.0008912
30,10910.1,0.82098,1.02954,1.2874,0.81116,0.715,0.82533,0.60802,0.92477,0.96547,1.37047,0.0008516,0.0008516,0.0008516
31,11212,0.81154,1.05695,1.28551,0.78569,0.725,0.82066,0.6131,0.86341,0.9552,1.30569,0.000812,0.000812,0.000812
32,13091.5,0.82946,1.03766,1.28739,0.84155,0.71703,0.82736,0.62939,0.87301,0.8862,1.32808,0.0007724,0.0007724,0.0007724
33,16004.5,0.77601,1.01974,1.25314,0.78053,0.76462,0.83396,0.62876,0.9038,0.82967,1.37146,0.0007328,0.0007328,0.0007328
34,16404.9,0.7858,0.97216,1.25891,0.77434,0.77208,0.84994,0.6504,0.86932,0.88654,1.31281,0.0006932,0.0006932,0.0006932
35,16690,0.7727,0.94509,1.25071,0.8763,0.725,0.86796,0.64861,0.87953,0.83286,1.33285,0.0006536,0.0006536,0.0006536
36,16972.6,0.77535,0.97047,1.25584,0.80765,0.775,0.86256,0.66697,0.80928,0.80037,1.2717,0.000614,0.000614,0.000614
37,17274.1,0.73758,0.93182,1.2139,0.79609,0.81987,0.85048,0.65558,0.8295,0.80973,1.29199,0.0005744,0.0005744,0.0005744
38,19205.5,0.74753,0.91124,1.21717,0.83297,0.77,0.86528,0.66894,0.81522,0.84254,1.27037,0.0005348,0.0005348,0.0005348
39,19512.3,0.73009,0.89595,1.22221,0.80412,0.79,0.86052,0.66788,0.82064,0.82092,1.28255,0.0004952,0.0004952,0.0004952
40,19776.4,0.74067,0.90701,1.22195,0.84318,0.77,0.8616,0.66403,0.79795,0.79248,1.24368,0.0004556,0.0004556,0.0004556
41,20066.3,0.67954,0.7673,1.18538,0.79792,0.80944,0.87369,0.65947,0.84536,0.84668,1.30664,0.000416,0.000416,0.000416
42,21055.9,0.62441,0.68726,1.1426,0.84605,0.835,0.89139,0.68883,0.80837,0.74778,1.27677,0.0003764,0.0003764,0.0003764
43,22293.7,0.63015,0.68638,1.14779,0.90475,0.75988,0.8742,0.67367,0.80006,0.74555,1.28001,0.0003368,0.0003368,0.0003368
44,22575.9,0.60389,0.64566,1.11226,0.85524,0.82711,0.8959,0.69941,0.791,0.71955,1.25186,0.0002972,0.0002972,0.0002972
45,22856.1,0.6013,0.61844,1.12176,0.8596,0.825,0.90158,0.70454,0.77711,0.71917,1.22596,0.0002576,0.0002576,0.0002576
46,23680.5,0.56838,0.624,1.09853,0.86772,0.81996,0.89524,0.69479,0.77394,0.73765,1.23756,0.000218,0.000218,0.000218
47,24135.5,0.56488,0.59946,1.08979,0.83972,0.86444,0.89932,0.68946,0.77413,0.71881,1.2334,0.0001784,0.0001784,0.0001784
48,24414.4,0.56094,0.58061,1.09153,0.84382,0.835,0.88963,0.70115,0.73115,0.68755,1.20177,0.0001388,0.0001388,0.0001388
49,24898.5,0.55071,0.56464,1.07603,0.82334,0.86224,0.89503,0.70502,0.73416,0.69264,1.20746,9.92e-05,9.92e-05,9.92e-05
50,25751,0.54103,0.55348,1.08082,0.82635,0.855,0.89409,0.70648,0.71929,0.69746,1.19398,5.96e-05,5.96e-05,5.96e-05
